idUser;surname;name;patronymic;email;phone;password;isManager;isEngineer;isOperator;idRole
f9e38a01-137d-454e-93fe-6a736fcb06e5;Прохорова;Элеонора;Егоровна;ivanovgrigori@example.net;83917592555;f9e38a01-137d-454e-93fe-6a736fcb06e5;False;False;False;1
4c945c54-ac77-4334-bf64-cc5ccc7a6ed2;Жданов;Будимир;Харламович;visheslav82@example.org;83068256208;4c945c54-ac77-4334-bf64-cc5ccc7a6ed2;False;False;False;1
379cd69b-c8c0-453c-b81b-a0dcf6e4c87c;Медведев;Софрон;Ерофеевич;kir1994@example.org;84510355718;379cd69b-c8c0-453c-b81b-a0dcf6e4c87c;False;False;False;1
702076df-6488-46ba-b07c-faf826bea3b5;Александров;Стоян;Алексеевич;leonti_1971@example.com;80191019572;702076df-6488-46ba-b07c-faf826bea3b5;False;False;False;1
108519e5-d8b4-419a-ac60-4bedecc9e204;Исаков;Варлаам;Викентьевич;gleb_1990@example.com;77443080370;108519e5-d8b4-419a-ac60-4bedecc9e204;False;False;False;1
8b3785df-b3fc-43e6-a8f6-221b584960de;Баранов;Ефим;Фокич;noskovnikifor@example.com;72524546304;8b3785df-b3fc-43e6-a8f6-221b584960de;False;False;False;1
6200eaa4-64f2-465f-8873-edcc30105bc7;Тихонов;Аверьян;Елисеевич;evgraf13@example.net;82760459468;6200eaa4-64f2-465f-8873-edcc30105bc7;False;False;False;1
6cccfbd6-11c7-4745-be39-6a1dfb3ea453;Рыбаков;Ефрем;Алексеевич;spartak_44@example.net;77835140948;6cccfbd6-11c7-4745-be39-6a1dfb3ea453;False;False;False;1
20b7e4c6-0cba-4eb4-afa9-4d3a6a8d34c6;Родионов;Герман;Трофимович;ladislav1994@example.com;85246449886;20b7e4c6-0cba-4eb4-afa9-4d3a6a8d34c6;False;False;False;1
62c8a8ea-a46a-4995-8794-3f649089315a;Белов;Ян;Фадеевич;burovvsevolod@example.net;71404636552;62c8a8ea-a46a-4995-8794-3f649089315a;False;False;False;1
35886293-c787-4cde-b7fa-83fafc3f85b3;Евдокимова;Ольга;Архиповна;bvorobeva@example.com;81376519060;35886293-c787-4cde-b7fa-83fafc3f85b3;False;False;False;1
ae13a1b0-0be5-460e-a362-638f935f1d75;Тетерина;Надежда;Федоровна;spartak1991@example.org;71922226547;ae13a1b0-0be5-460e-a362-638f935f1d75;False;False;False;1
da384682-1b30-466a-8482-2b7a7fc97e71;Жуков;Милий;Григорьевич;sevastjandavidov@example.com;77440820443;da384682-1b30-466a-8482-2b7a7fc97e71;False;True;False;2
01f0b7d3-9b64-49d0-b63e-9190d736d091;Тимофеева;Наталья;Николаевна;leonid_53@example.com;80902990930;01f0b7d3-9b64-49d0-b63e-9190d736d091;False;True;False;2
af4fbc9f-37ca-45ff-bb94-494c348d876f;Степанова;Марфа;Юльевна;eliseevnestor@example.com;72477062655;af4fbc9f-37ca-45ff-bb94-494c348d876f;False;True;False;2
c59a07db-17d1-4769-9d5c-19c0ab4d435c;Воробьева;Таисия;Альбертовна;glebvolkov@example.net;73305973318;c59a07db-17d1-4769-9d5c-19c0ab4d435c;True;False;True;2
7a051229-40bb-443e-80b8-024cb239f52b;Новиков;Ипполит;Власович;epestova@example.net;73700031752;7a051229-40bb-443e-80b8-024cb239f52b;True;True;True;2
ec90762d-3e3d-413a-b8c5-b86c93ddb52f;Никонова;Олимпиада;Леонидовна;vorobevmiroslav@example.net;80423274787;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;False;False;True;2
b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Силин;Эрнст;Георгиевич;leonid72@example.com;89367064327;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;False;True;False;2
d82a5505-35aa-4243-873c-0488e61d62a5;Степанов;Юлиан;Геннадиевич;fadeustinov@example.org;71805805233;d82a5505-35aa-4243-873c-0488e61d62a5;False;False;False;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
